
ID,Name,Industry,Inception,Revenue,Expenses,Profit,Growth
1,Lamtone,IT Services,2009,$11757018,6482465 Dollars,5274553,30%
2,Stripfind,Financial Services,2010,$12329371,916455 Dollars,11412916,20%
3,CaneCorporation,Health services,2012,$10597009,7591189 Dollars,6597557,9%
4,MatTouch,health services,2013,$14026934,7429377 Dollars,3138627,8%
5,TechDrill,Financial Services,2009,$11757018,916455 Dollars,11412916,5%
6,TechLine,Plumbing services,2006,$12329371,6482465 Dollars,11412916,23%
7,CityAce,Financial Services,2010,$11757018,916455 Dollars,11412916,6%
8,KeyElectronics,Financial Services,2009,$12329371,6482465 Dollars,11412916,4%
9,Ganzlax,Financial Services,2011,$11757018,916455 Dollars,11412916,18%
10,TranTaxlax,Financial Services,2011,$12329371,6482465 Dollars,11412916,7%
