
ID,Date,Name,Industry,Inception,Revenue,Expenses,Profit,Growth
1,Yes,Lamtone,IT Services,2009,$11757018,6482465 Dollars,5274553,30%
2,No,Stripfind,Financial Services,2010,$12329371,916455 Dollars,11412916,20%
3,Yes,CaneCorporation,Health Services,2012,$10597009,7591189 Dollars,6597557,7%
4,No,MatTouch,IT Services,2013,$14026934,7429377 Dollars,3138627,26%
5,Yes,TechDrill,Financial Services,2009,$11757018,916455 Dollars,11412916,8%
6,No,TechLine,Financial Services,2006,$12329371,6482465 Dollars,11412916,23%
7,Yes,CityAce,Financial Services,2010,$11757018,916455 Dollars,11412916,6%
8,No,KeyElectronics,Financial Services,2009,$12329371,6482465 Dollars,11412916,4%
9,Yes,Ganzlax,Financial Services,2011,$11757018,916455 Dollars,11412916,18%
9,No,TranTaxlax,Financial Services,2011,$12329371,6482465 Dollars,11412916,7%
